n,symbol,side,opened,closed,held_s,reason,entry,exit,target,stop,potential,stake,leverage,margin,notional,move,pnl,fees,equity_after,source
1,BLESSUSDT,SHORT,2026-08-16 15:58:02,2026-08-16 16:00:13,131.2,trail,0.006695,0.00664497082977015,0.012538,0.015522,6.36,0.1104,1.57,1.104043,1.735834,0.007473,0.008958,0.004013,10.008958,own
2,SOXLUSDT,SHORT,2026-08-16 16:00:17,2026-08-16 16:00:23,6.0,target,193.69,187.53422771033866,0.029412,0.012369,17.8,0.2191,2.6,0.023491,0.061132,0.031782,0.001798,0.000145,10.010756,own
3,SNDKUSDT,SHORT,2026-08-16 16:00:15,2026-08-16 16:00:25,9.4,trail,1636.77,1628.0677800097867,0.031178,0.014441,25.05,0.288,3.25,0.075327,0.245143,0.005317,0.000959,0.000345,10.011715,own
4,SOXLUSDT,LONG,2026-08-16 16:00:23,2026-08-16 16:00:26,2.7,trail,187.95,190.4594658066765,0.085423,0.015487,54.2,0.5649,5.88,0.014285,0.083963,0.013352,0.000915,0.000206,10.01263,own
5,SOLUSDT,SHORT,2026-08-16 16:00:16,2026-08-16 16:00:27,10.8,trail,65.52,65.24572472289437,0.024876,0.011353,39.42,0.4245,4.55,0.079063,0.359554,0.004186,0.001019,0.000487,10.013648,own
6,BLESSUSDT,LONG,2026-08-16 16:00:14,2026-08-16 16:00:27,13.6,trail,0.006685,0.0067198216322996674,0.028985,0.017542,16.61,0.2078,2.5,0.231322,0.577215,0.005209,0.0017,0.001306,10.015349,own
7,SOXLUSDT,LONG,2026-08-16 16:00:27,2026-08-16 16:00:28,1.5,trail,190.24,192.66922085286393,0.074203,0.018378,46.71,0.4937,5.2,0.016855,0.087711,0.012769,0.000896,0.000224,10.016245,own
8,HYPEUSDT,SHORT,2026-08-16 15:58:03,2026-08-16 16:00:29,145.4,trail,58.846,58.46678405520521,0.078488,0.015365,100.0,1.0,10.0,3.402746,34.027458,0.006444,0.163138,0.056142,10.179384,own
9,SOXLUSDT,LONG,2026-08-16 16:00:29,2026-08-16 16:00:30,0.7,trail,192.43,203.164895997548,0.06686,0.014617,42.58,0.4546,4.83,0.108067,0.522243,0.055786,0.027803,0.001331,10.207186,own
10,BLESSUSDT,LONG,2026-08-16 16:00:28,2026-08-16 16:00:30,2.1,trail,0.006713,0.006798546387288579,0.023236,0.017083,13.06,0.1741,2.18,0.046368,0.100872,0.012743,0.00106,0.000225,10.208247,own
